name,xshift,yshift,rot,scale,rmsxpix,rmsypix,xsc,ysc,exptime,rmsx,rmsy,rms,detector
idb652r4q_flt.fits,-1.985051,0.31165,0.019395,1.0001309999999999,0.055289,0.04818,133.73916022149837,136.62336997302148,399.231262,7.394304429486423,6.582513965300175,9.89975899198028,ir
idb652r7q_flt.fits,-1.9439369999999998,0.333717,0.020916999999999998,1.00013,0.04965,0.045295,133.7421634135643,136.62161412574068,399.231262,6.6402984134834675,6.188276011825424,9.076801364943767,ir
idb652raq_flt.fits,-1.9393619999999998,0.375085,0.020249,1.0001360000000001,0.059047,0.047691000000000004,133.73476057056249,136.61726512342327,399.231262,7.8966364074100035,6.5154139910011795,10.2375527361263,ir
idb653uwq_flt.fits,-1.9177400000000002,0.49823199999999995,0.017713999999999997,1.000075,0.061466,0.047218,133.76030613829414,136.63173767596632,399.231262,8.221710977096388,6.451477389583778,10.450745997258663,ir
idb653uzq_flt.fits,-1.726248,0.350166,0.018016,1.000107,0.063288,0.052028,133.74249147507308,136.60345214949916,699.232483,8.464294800474425,7.107204408434142,11.05244954625915,ir
idb653v3q_flt.fits,-1.946853,0.518072,0.018077,1.0001280000000001,0.049460000000000004,0.051175,133.75158134705464,136.62141089188722,399.231262,6.615353213425323,6.991600702392328,9.625246932939936,ir
idb653v6q_flt.fits,-1.9300700000000002,0.550922,0.017743000000000002,1.000097,0.054937,0.045997,133.75163187364916,136.62475683244043,399.231262,7.347913400242664,6.284328940021763,9.668744570204591,ir
idb653v9q_flt.fits,-1.902265,0.556624,0.017644999999999997,1.000122,0.056289,0.051579999999999994,133.749790437872,136.6173523887299,399.231262,7.5286419539573775,7.046723036210687,10.311971451664784,ir
idb654vvq_flt.fits,-2.068823,0.55901,0.016257,1.0001120000000001,0.060307000000000006,0.0557,133.75279494320836,136.6269561130007,399.231262,8.066229804640066,7.610121455494138,11.089545158780677,ir
idb654vyq_flt.fits,-1.877477,0.40497,0.016395,1.0001209999999998,0.059424,0.052472000000000005,133.73418778147342,136.60428307262808,699.232483,7.947020374726276,7.167899941386941,10.702052252070603,ir
idb654w2q_flt.fits,-2.094319,0.552615,0.017941,1.0001229999999999,0.046446,0.047139,133.74828903624672,136.6198890319131,399.231262,6.212073032577515,6.440124949075352,8.947908175757037,ir
idb654w5q_flt.fits,-2.07674,0.590943,0.017234,1.000138,0.049697000000000005,0.056677,133.7442062011026,136.62089783086705,399.231262,6.6466858155761965,7.7432626263600515,10.20473166877827,ir
idb654w8q_flt.fits,-2.044853,0.610436,0.016926,1.000117,0.051799,0.06029299999999999,133.74634609976107,136.61678978682298,399.231262,6.927926981621523,8.237036106616916,10.763128545380765,ir
idb601qyq_flc.fits,-3.201514,-2.956785,0.007259000000000001,1.00001,0.070921,0.13686099999999998,40.81602923929626,38.35089942048294,550.0,2.8947136096801303,5.248742445586715,5.994052397349474,uvis
idb601r1q_flc.fits,-2.905202,-3.5203599999999997,0.009558,0.9999950000000001,0.074401,0.114641,40.808472957120365,38.34774777759817,350.0,3.036191196482712,4.396224152971632,5.3427749142903505,uvis
idb601r4q_flc.fits,-3.129018,-3.017083,0.007513,1.000016,0.07139,0.127374,40.81506824914548,38.34983098395635,700.0,2.9137877223064956,4.884771371750456,5.687807156096003,uvis
idb601r8q_flc.fits,-3.058404,-3.571791,0.010025,0.9999969999999999,0.103246,0.15704,40.80772761404068,38.346753028431515,540.0,4.213234645239244,6.021974095584886,7.3495250311662765,uvis
idb602rvq_flc.fits,12.232237,-2.140641,0.0094,1.000014,0.059211,0.079589,40.81503570377733,38.34967108991805,550.0,2.4166990790563596,3.052211972375487,3.893126296824201,uvis
