#Gc logAge  M_H  m_ini    mu0   Av    mratio  Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F275W1mag  F336W1mag  F475Wmag  F814Wmag  F110Wmag  F160Wmag  F098Mmag  F127Mmag  F139Mmag  F153Mmag  TiOmag  CNmag   Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag
 1   9.230 -0.21  0.37437  8.350  0.154 0.00   0.374 -1.795  3.5338  4.893    0  0.000  0.545     0.00     0.00 -1 -1.18e-15      0.00 7.248e-01 2.658e-01 1.687e-03 4.551e-04 4.128e-03 -1.000 9.381e-03 17.609 26.774 23.060 20.389 17.128 16.102 15.429 16.487 15.754 15.664 15.437 17.301 16.963 15.846 15.277 15.032 14.756 14.680 14.639 14.617 14.298 
 1   9.210 -0.14  0.64024  7.450  0.181 0.00   0.640 -0.952  3.6311  4.672    1  0.000  0.545     0.00     0.00 -1 -8.09e-15      0.00 7.261e-01 2.633e-01 1.913e-03 5.160e-04 4.681e-03 -1.000 1.063e-02 14.600 21.379 17.832 16.170 14.015 13.295 12.539 13.613 13.001 12.817 12.530 14.066 13.943 13.081 12.399 12.280 12.211 12.251 12.216 12.182 12.117 
 1   9.210 -0.10  0.17069 14.000  0.200 0.00   0.170 -2.566  3.4716  5.072    1  0.000  0.545     0.00     0.00 -1 -2.41e-16      0.00 7.175e-01 2.706e-01 2.142e-03 5.781e-04 5.243e-03 -1.000 1.192e-02 25.185 35.779 32.408 29.137 24.923 23.572 22.908 24.032 23.148 23.213 22.929 25.377 24.629 23.266 22.708 22.440 22.045 21.972 21.940 21.895 21.446 
 1   9.230  0.00  0.69532  7.850  0.143 0.00   0.695 -0.841  3.6448  4.653    1  0.000  0.545     0.00     0.00 -1 -1.02e-14      0.00 7.162e-01 2.692e-01 2.621e-03 7.072e-04 6.415e-03 -1.000 1.459e-02 14.723 21.147 17.755 16.180 14.138 13.450 12.709 13.761 13.161 12.974 12.697 14.181 14.071 13.240 12.575 12.468 12.414 12.469 12.432 12.389 12.343 
 1   9.230  0.20  0.25069 10.750  0.200 0.76   0.250 -2.278  3.4768  4.974    1  0.000  0.545     0.00     0.00 -1 -4.32e-16      0.00 6.873e-01 2.899e-01 4.096e-03 1.105e-03 1.002e-02 -1.000 2.278e-02 20.729 31.281 27.612 24.679 20.501 19.099 18.464 19.558 18.669 18.773 18.490 20.999 20.184 18.789 18.256 17.975 17.580 17.502 17.473 17.431 16.866 
 1   9.210  0.22  0.10528  9.900  0.193 0.00   0.105 -3.208  3.3815  5.145    0  0.000  0.545     0.00     0.00 -1 -6.45e-17      0.00 6.848e-01 2.913e-01 4.300e-03 1.160e-03 1.052e-02 -1.000 2.392e-02 22.689 33.845 32.032 27.984 22.801 20.988 20.343 21.557 20.460 20.824 20.385 23.734 22.306 20.616 20.063 19.768 19.282 19.241 19.223 19.136 18.536 
 1   9.230  0.28  0.41908  9.400  0.189 0.83   0.419 -1.778  3.5098  4.829    0  0.000  0.545     0.00     0.00 -1 -1.25e-15      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 18.089 27.996 24.041 21.407 17.721 16.513 15.870 16.928 16.128 16.127 15.888 18.053 17.479 16.232 15.693 15.434 15.102 15.019 14.987 14.961 14.407 
 1   9.230  0.35  0.14441  9.850  0.191 0.00   0.144 -2.843  3.4165  5.057    0  0.000  0.545     0.00     0.00 -1 -1.41e-16      0.00 6.646e-01 3.044e-01 5.579e-03 1.505e-03 1.365e-02 -1.000 3.103e-02 21.727 32.864 30.790 26.945 21.827 20.025 19.390 20.585 19.500 19.861 19.433 22.733 21.338 19.656 19.111 18.810 18.330 18.283 18.264 18.181 17.580 
 1   9.210  0.37  0.14688 11.100  0.201 0.00   0.147 -2.827  3.4171  5.052    0  0.000  0.545     0.00     0.00 -1 -1.46e-16      0.00 6.599e-01 3.074e-01 5.867e-03 1.583e-03 1.436e-02 -1.000 3.263e-02 22.939 34.075 31.965 28.141 23.036 21.239 20.604 21.796 20.714 21.072 20.647 23.935 22.549 20.870 20.326 20.024 19.545 19.497 19.478 19.396 18.796 
 1   9.230  0.40  0.10357 11.150  0.158 0.00   0.103 -3.233  3.3727  5.128    0  0.000  0.545     0.00     0.00 -1 -6.27e-17      0.00 6.555e-01 3.103e-01 6.155e-03 1.660e-03 1.506e-02 -1.000 3.423e-02 24.002 35.160 33.309 29.292 24.115 22.301 21.657 22.869 21.772 22.138 21.700 25.045 23.620 21.929 21.377 21.081 20.595 20.553 20.535 20.449 19.848 
 1   9.210  0.44  0.13302 10.750  0.193 0.00   0.133 -2.937  3.4038  5.066    0  0.000  0.545     0.00     0.00 -1 -1.17e-16      0.00 6.461e-01 3.165e-01 6.731e-03 1.816e-03 1.647e-02 -1.000 3.743e-02 22.863 34.018 32.027 28.126 22.976 21.162 20.525 21.726 20.633 21.003 20.568 23.896 22.482 20.790 20.243 19.942 19.459 19.413 19.394 19.310 18.706 
 1   9.270 -0.14  0.18633  8.400  0.177 0.86   0.186 -2.466  3.4830  5.058    1  0.000  0.545     0.00     0.00 -1 -2.95e-16      0.00 7.200e-01 2.692e-01 1.946e-03 5.249e-04 4.761e-03 -1.000 1.082e-02 18.746 29.198 25.755 22.537 18.443 17.139 16.473 17.591 16.726 16.768 16.492 18.852 18.169 16.840 16.280 16.017 15.634 15.559 15.525 15.483 15.063 
 1   9.250  0.04  0.33912  8.700  0.182 0.00   0.339 -1.960  3.5075  4.910    0  0.000  0.545     0.00     0.00 -1 -8.31e-16      0.00 7.060e-01 2.777e-01 2.926e-03 7.894e-04 7.159e-03 -1.000 1.627e-02 18.369 28.190 24.272 21.603 17.977 16.802 16.152 17.212 16.423 16.404 16.169 18.278 17.749 16.525 15.980 15.724 15.400 15.318 15.284 15.259 14.752 
 1   9.250  0.15  0.10007 10.850  0.221 0.00   0.100 -3.267  3.3770  5.165    0  0.000  0.545     0.00     0.00 -1 -5.62e-17      0.00 6.943e-01 2.852e-01 3.688e-03 9.949e-04 9.023e-03 -1.000 2.051e-02 23.789 34.949 33.182 29.095 23.902 22.088 21.441 22.659 21.560 21.923 21.482 24.838 23.406 21.716 21.161 20.868 20.380 20.341 20.323 20.236 19.637 
 1   9.250  0.20  0.20806  9.650  0.185 0.96   0.207 -2.448  3.4631  5.007    1  0.000  0.545     0.00     0.00 -1 -3.09e-16      0.00 6.874e-01 2.898e-01 4.096e-03 1.105e-03 1.002e-02 -1.000 2.278e-02 19.826 30.499 26.979 23.942 19.630 18.182 17.549 18.651 17.742 17.872 17.576 20.177 19.294 17.865 17.333 17.048 16.642 16.566 16.538 16.492 15.924 
 1   9.270  0.20  0.34601  7.600  0.148 0.00   0.346 -1.971  3.4981  4.893    0  0.000  0.545     0.00     0.00 -1 -8.17e-16      0.00 6.881e-01 2.891e-01 4.096e-03 1.105e-03 1.002e-02 -1.000 2.278e-02 17.298 27.261 23.327 20.665 16.925 15.701 15.066 16.119 15.312 15.325 15.085 17.276 16.675 15.418 14.887 14.626 14.285 14.201 14.169 14.142 13.588 
 1   9.270  0.40  0.29729  9.950  0.199 0.00   0.296 -2.160  3.4750  4.921    1  0.000  0.545     0.00     0.00 -1 -5.53e-16      0.00 6.550e-01 3.108e-01 6.155e-03 1.660e-03 1.506e-02 -1.000 3.423e-02 20.121 30.602 26.854 23.968 19.865 18.500 17.865 18.950 18.079 18.160 17.888 20.331 19.564 18.196 17.663 17.384 16.999 16.919 16.889 16.849 16.286 
